name,state,city,address,lattitude,longitude,type
Reliance Digital Kamlanagar,Jharkhand,Delhi,"37 Bunglow Road Kamla Nagar, opp. Amitabh Guest House, Civil Lines, New Delhi",28.68,77.2022968,6.0
Food Sixteen Restaurant,Bihar,Delhi,"Metro Station, A-16, Grand Trunk Rd, near Adarsh Nagar, Indira Nagar, Azadpur, New Delhi",28.71,77.168538,6.0
Abhay Graphics II,Andhra Pradesh,pune,"D-II, Plot no 32, Unit B - Near Kia Showroom, In front of HDFC Colony, Chinchwad",18.65,73.8034013253093,6.0
Miramar Residency - Blive,Jammu,goa,"Miramar Beach, Miramar, Panaji, Goa",15.48,73.809121797395,6.0
Old Goa Residency- Blive,Rajasthan,goa,"Near Old Goa Fire Brigade, Goa",15.5,73.9141273127392,6.0
Eham Digital,Rajasthan,calicut,"2nd Unison Tower, Thondayad Junction Thondayad Bye Pass, near Star Care Hospital, Kozhikode, Kerala ",11.26,75.8109713,6.0
Darshan super market,Tamil Nadu,Chennai,"Chitrakoot Complex,No.91/18A,OMR,Egattur opp to Flsmidth,Chennai-603103,Chengalpattu, District, Chennai, Tamil Nadu ",12.82,80.2298531,6.0
Mall of Mysore,Uttar Pradesh,mysore,"No.C-1, M.G Road Indira Nagar, Nazarbad Mohalla, Extension",12.29,76.663958,6.0
"Cafe Coffee Day, Gokulam Road",West Bengal,mysore,"6th Main, Gokulam Road, V V Mohalla Ground Floor, C/O Star Wing Building",12.32,76.626866,6.0
CarTuneZ,Tamil Nadu,Chennai,"Mount Poonamallee Rd, Swaminatha Nagar, Goparasanallur, Chennai, Tamil Nadu ",13.04,80.1264474028141,6.0
Shree Shanthi's the garment shop,Tamil Nadu,Chennai,"1, 10th Cross St, near water tank. Customer care: 9940169111, 9789964111, Indira Nagar, Adyar, Chennai, Tamil Nadu ",12.99,80.2517792,6.0
The Smith's Cafe & bakery,Maharashtra,Chennai,"Balaji Nagar 2nd Cross St, Balaji Nagar, Ponniammanmedu, Chennai, Tamil Nadu ",13.12,80.2241501,6.0
Sri Murugan Stores,Andhra Pradesh,Chennai,"9&10, Tejraj colony, Agaram Main Rd, Selaiyur, Chennai, Tamil Nadu ",12.9,80.1421391,6.0
Firewood Restaurant,Odisha,jaipur,"B-136A, RAJENDRA MARG, near JANTA STORE, CROSSING, BapuNagar",26.88,75.8089775422449,6.0
Oyo Silverkey 42750,Gujarat,gurugram,"170, Medicity, Islampur Colony, Sector 38,  Gurugram",28.43,77.0442743,6.0
Amrit Residency,Gujarat,gurugram,"Opposite Ayyappa Temple, Dundahera, Surya Vihar, Sector 21, Gurugram",28.51,77.0719022,6.0
"Cafe coffee day, Kazhakootam, Trivandrum",Karnataka,trivandrum,"Queen Tower, Kazhakootam, Thiruvananthapuram, Kerala ",8.549,76.877257,6.0
